cid,mw_pc,smiles,connectivitysmiles,iupac,logp_pc
12524,86.09,C(CC=O)C=O,C(CC=O)C=O,butanedial,-0.9
12578,162.23,CC(C)C1=CC=C(C=C1)C(=O)C,CC(C)C1=CC=C(C=C1)C(=O)C,1-(4-propan-2-ylphenyl)ethanone,3.0
12740,132.18,C(CCCF)CCC=O,C(CCCF)CCC=O,7-fluoroheptanal,1.6
12837,188.26,C1CCC(CC1)C(=O)C2=CC=CC=C2,C1CCC(CC1)C(=O)C2=CC=CC=C2,cyclohexyl(phenyl)methanone,3.7
13654,164.20,CC(C)OC(=O)C1=CC=CC=C1,CC(C)OC(=O)C1=CC=CC=C1,propan-2-yl benzoate,3.2
14090,134.13,C1=CC=C(C=C1)C(=O)C=O,C1=CC=C(C=C1)C(=O)C=O,2-oxo-2-phenylacetaldehyde,1.7
14496,70.09,C1CC(=O)C1,C1CC(=O)C1,cyclobutanone,0.0
15018,68.07,CC(=O)C#C,CC(=O)C#C,but-3-yn-2-one,0.4
15387,263.35,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,1-(4-fluorophenyl)-4-(4-methylpiperidin-1-yl)butan-1-one,3.3
15461,162.23,CC1=CC(=C(C(=C1)C)C(=O)C)C,CC1=CC(=C(C(=C1)C)C(=O)C)C,"1-(2,4,6-trimethylphenyl)ethanone",2.7
15717,176.21,C=CCOC(=O)CC1=CC=CC=C1,C=CCOC(=O)CC1=CC=CC=C1,prop-2-enyl 2-phenylacetate,2.4
15827,114.19,CC(C)CCCC=O,CC(C)CCCC=O,5-methylhexanal,1.9
15909,146.19,CC(=O)C=CC1=CC=CC=C1,CC(=O)C=CC1=CC=CC=C1,4-phenylbut-3-en-2-one,2.1
16237,178.23,CCOC(=O)CCC1=CC=CC=C1,CCOC(=O)CCC1=CC=CC=C1,ethyl 3-phenylpropanoate,2.7
16757,178.23,C1=CC=C(C=C1)CCCCC(=O)O,C1=CC=C(C=C1)CCCCC(=O)O,5-phenylpentanoic acid,2.7
16846,164.20,CCCOC(=O)C1=CC=CC=C1,CCCOC(=O)C1=CC=CC=C1,propyl benzoate,3.0
16871,188.18,COC1=CC(=O)C2=CC=CC=C2C1=O,COC1=CC(=O)C2=CC=CC=C2C1=O,"2-methoxynaphthalene-1,4-dione",1.4
17355,148.20,CC(=O)CCC1=CC=CC=C1,CC(=O)CCC1=CC=CC=C1,4-phenylbutan-2-one,1.8
17748,207.61,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)N,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)N,"2-amino-3-chloronaphthalene-1,4-dione",2.1
18771,296.3,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N,"5,10-dioxobenzo[g][1,4]benzodithiine-2,3-dicarbonitrile",2.8
19707,114.14,CCCC(=O)C(=O)C,CCCC(=O)C(=O)C,"hexane-2,3-dione",0.4
20205,102.13,C(CCO)CC=O,C(CCO)CC=O,5-hydroxypentanal,-0.3
20412,286.68,C(C=O)[Hg]CC=O,C(C=O)[Hg]CC=O,bis(2-oxoethyl)mercury,
20861,134.17,CCC1=CC=C(C=C1)C=O,CCC1=CC=C(C=C1)C=O,4-ethylbenzaldehyde,2.4
21265,190.24,CC(=CCOC(=O)C1=CC=CC=C1)C,CC(=CCOC(=O)C1=CC=CC=C1)C,3-methylbut-2-enyl benzoate,3.2
23235,206.28,CCCCCCOC(=O)C1=CC=CC=C1,CCCCCCOC(=O)C1=CC=CC=C1,hexyl benzoate,4.9
24115,114.14,CC(C)C(=O)C(=O)C,CC(C)C(=O)C(=O)C,"4-methylpentane-2,3-dione",0.6
27357,84.07,C1C(=O)CC1=O,C1C(=O)CC1=O,"cyclobutane-1,3-dione",-0.1
27523,100.16,CCC(C)CC=O,CCC(C)CC=O,3-methylpentanal,1.5
31209,202.29,CCCCCC(=CC1=CC=CC=C1)C=O,CCCCCC(=CC1=CC=CC=C1)C=O,2-benzylideneheptanal,4.2
31210,192.25,CCCCOC(=O)CC1=CC=CC=C1,CCCCOC(=O)CC1=CC=CC=C1,butyl 2-phenylacetate,3.2
