rank,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_hbd,n_hba,n_rotb,n_rings,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,n_alpha_h,qed,priority,category
104,152509291,O=CCC(C=O)C(F)(F)F,YFDKCQSZTUVFRH-UHFFFAOYSA-N,2-(trifluoromethyl)butanedial,154.087,0.9528,34.14,0,2,3,0,2,2,2,2,3,1,0.5669371055885045,0.4493559739119531,Fluoro-dialdehyde
105,2779024,O=CC(=O)C(F)(F)F,CNQOORHYEKAWRC-UHFFFAOYSA-N,"3,3,3-trifluoro-2-oxopropanal",126.03300000000002,0.31669999999999987,34.14,0,2,1,0,2,1,2,2,3,0,0.37410668459260243,0.44910668459260245,Fluoro-dialdehyde
106,21396871,Cl.O=CCC=O,MLHIFLIOQYBOQF-UHFFFAOYSA-N,propanedial;hydrochloride,108.524,0.1961,34.14,0,2,2,0,2,2,2,2,0,2,0.3740544512705814,0.4490544512705814,Dialdehyde (aliphatic)
107,349972,CC(C)(C)C(=O)C=O,ASONUAQLGIPYMA-UHFFFAOYSA-N,"3,3-dimethyl-2-oxobutanal",114.14399999999998,0.8005,34.14,0,2,1,0,2,1,2,2,0,0,0.3729902867981066,0.4479902867981066,Dialdehyde (aliphatic)
108,11051586,CC(=O)C(C)C=O,KNTLTMLEQPLVDA-UHFFFAOYSA-N,2-methyl-3-oxobutanal,100.11699999999999,0.4104,34.14,0,2,2,0,2,3,2,2,0,0,0.3717799485305452,0.4467799485305452,Dialdehyde (aliphatic)
109,136920,CC(C)(C=O)C=O,WNBFTLCNQKKVHC-UHFFFAOYSA-N,"2,2-dimethylpropanedial",100.11699999999999,0.4104,34.14,0,2,2,0,2,2,2,2,0,0,0.3717799485305452,0.4467799485305452,Dialdehyde (aliphatic)
110,54556568,O=CC1C(=O)CC1=O,KUDQAKZEXFDYGO-UHFFFAOYSA-N,"2,4-dioxocyclobutane-1-carbaldehyde",112.08399999999999,-0.6566000000000001,51.21,0,3,1,1,3,5,3,3,0,0,0.33407594477656105,0.44657594477656104,Dialdehyde (cyclic)
111,22497392,CC=O.O=CC=O,PEFJGUWDOSVAAW-UHFFFAOYSA-N,acetaldehyde;oxaldehyde,102.08899999999998,-0.4106000000000001,51.21,0,3,1,0,3,1,3,3,0,0,0.33377216214975075,0.44627216214975074,Dialdehyde (aliphatic)
112,5460210,O=CCCCCC(=O)[O-],PNPPVRALIYXJBW-UHFFFAOYSA-M,6-oxohexanoate,129.135,-0.5044,57.199999999999996,0,3,5,0,2,2,2,2,0,1,0.3709956569884555,0.4459956569884555,Dialdehyde (aliphatic)
113,21197420,O=CC(F)(F)C=O,ZLQCRORFLSOUFF-UHFFFAOYSA-N,"2,2-difluoropropanedial",108.043,0.019500000000000073,34.14,0,2,2,0,2,2,2,2,2,0,0.3688011591977829,0.4438011591977829,Fluoro-dialdehyde
